Geneid	SRR9257060
AT1G30814	0
AT1G78930	156
AT1G71695	4226
AT1G58983	0
AT1G12980	18
AT1G45223	0
AT1G56250	7
AT1G66852	0
AT1G69810	350
AT1G72450	384
AT1G76280	535
AT1G65630	0
AT1G71390	0
AT1G56233	2
AT1G15210	1549
AT1G15250	535
AT1G79700	192
AT1G62895	0
AT1G73360	173
AT1G16360	8
AT1G10225	3
AT1G26670	798
AT1G34855	0
AT1G52200	1178
AT1G57800	0
AT1G69460	1217
AT1G04310	273
AT1G08080	1
AT1G75550	174
AT1G71890	50
AT1G05430	700
AT1G80870	606
AT1G75310	987
AT1G02010	250
AT1G47900	1674
AT1G14315	2
AT1G26760	294
AT1G05250	1
AT1G67260	17
AT1G24575	342
AT1G12790	87
AT1G04850	2963
AT1G31760	183
AT1G33250	573
AT1G74000	63
AT1G55580	25
AT1G53903	0
AT1G19715	1644
AT1G69430	11
AT1G53340	65
AT1G29890	884
AT1G80290	191
AT1G56540	39
AT1G48650	2327
AT1G22670	1
AT1G07030	627
AT1G69860	0
AT1G10120	558
AT1G43650	177
AT1G09960	377
AT1G51990	0
AT1G53625	31
AT1G63360	901
AT1G33330	409
AT1G74929	0
AT1G63430	808
AT1G80720	234
AT1G69770	1124
AT1G08460	494
AT1G78710	0
AT1G08610	387
AT1G17540	3
AT1G27380	32
AT1G58643	0
AT1G48953	0
AT1G51440	52
AT1G18871	0
AT1G25210	0
AT1G21610	716
AT1G79710	277
AT1G80840	70
AT1G71300	0
AT1G49490	215
AT1G23645	0
AT1G09795	2872
AT1G48690	52
AT1G49570	185
AT1G68470	230
AT1G75580	114
AT1G26400	0
AT1G72980	3
AT1G59970	321
AT1G11520	0
AT1G30640	306
AT1G26440	296
AT1G51320	0
AT1G22070	1358
AT1G26700	13
AT1G73603	2
AT1G55650	2
AT1G78180	691
AT1G55928	0
AT1G29880	4394
AT1G53645	1867
AT1G06240	366
AT1G72330	411
AT1G20840	3677
AT1G45050	288
AT1G52500	515
AT1G10430	864
AT1G05670	242
AT1G64110	94
AT1G65220	2296
AT1G13635	33
AT1G54950	1
AT1G55730	389
AT1G07310	1000
AT1G77230	69
AT1G52400	2972
AT1G16430	329
AT1G27752	807
AT1G14880	90
AT1G11190	140
AT1G43100	0
AT1G26650	558
AT1G54420	0
AT1G34640	192
AT1G50310	11
AT1G49430	1326
AT1G74240	233
AT1G01760	85
AT1G61160	0
AT1G47480	280
AT1G65820	2588
AT1G22900	183
AT1G76820	150
AT1G52080	166
AT1G35180	68
AT1G30070	388
AT1G35210	20
AT1G10410	1046
AT1G73740	267
AT1G53350	356
AT1G34110	459
AT1G17240	24
AT1G61730	1572
AT1G29260	662
AT1G33890	4
AT1G08040	627
AT1G63522	0
AT1G08810	264
AT1G09210	7745
AT1G70080	4
AT1G10522	1378
AT1G04570	35
AT1G01830	543
AT1G12340	8
AT1G67590	785
AT1G69080	120
AT1G31400	0
AT1G74385	0
AT1G73300	1
AT1G05760	0
AT1G30530	1463
AT1G12480	68
AT1G76850	2314
AT1G73570	248
AT1G44130	6
AT1G67340	486
AT1G80315	0
AT1G43666	0
AT1G08630	22
AT1G66150	1853
AT1G04640	1216
AT1G56500	3470
AT1G12615	0
AT1G77120	5716
AT1G50590	50
AT1G17147	97
AT1G44740	127
AT1G08005	0
AT1G24380	0
AT1G60787	22
AT1G26796	0
AT1G68500	229
AT1G15500	7963
AT1G77760	6911
AT1G24062	0
AT1G53510	1653
AT1G51410	6
AT1G50020	735
AT1G22370	366
AT1G53265	0
AT1G17270	158
AT1G74350	53
AT1G75230	342
AT1G29150	2858
AT1G17140	1201
AT1G08380	93070
AT1G43560	1870
AT1G07700	917
AT1G33750	300
AT1G61270	3
AT1G14750	68
AT1G05900	348
AT1G44120	0
AT1G52990	16
AT1G37130	12172
AT1G48175	333
AT1G72140	58
AT1G66465	21
AT1G43260	0
AT1G14420	6
AT1G01710	794
AT1G44000	1246
AT1G73960	1152
AT1G11360	841
AT1G04490	35
AT1G78476	9
AT1G15310	265
AT1G13300	668
AT1G55530	661
AT1G47350	0
AT1G74458	101
AT1G32120	268
AT1G17260	32
AT1G32660	0
AT1G31480	361
AT1G17500	1035
AT1G50780	0
AT1G21150	124
AT1G78110	261
AT1G80080	704
AT1G23260	926
AT1G09790	0
AT1G60270	207
AT1G25400	199
AT1G77980	0
AT1G43140	4
