Geneid	SRR9257063
AT1G30814	0
AT1G78930	422
AT1G71695	2003
AT1G58983	0
AT1G12980	2
AT1G45223	1
AT1G56250	8
AT1G66852	0
AT1G69810	166
AT1G72450	380
AT1G76280	629
AT1G65630	6
AT1G71390	5
AT1G56233	0
AT1G15210	548
AT1G15250	563
AT1G79700	32
AT1G62895	0
AT1G73360	74
AT1G16360	16
AT1G10225	24
AT1G26670	552
AT1G34855	0
AT1G52200	232
AT1G57800	3
AT1G69460	1076
AT1G04310	280
AT1G08080	5
AT1G75550	51
AT1G71890	62
AT1G05430	790
AT1G80870	792
AT1G75310	810
AT1G02010	219
AT1G47900	1100
AT1G14315	4
AT1G26760	116
AT1G05250	0
AT1G67260	8
AT1G24575	150
AT1G12790	86
AT1G04850	3765
AT1G31760	338
AT1G33250	590
AT1G74000	93
AT1G55580	18
AT1G53903	0
AT1G19715	2328
AT1G69430	53
AT1G53340	46
AT1G29890	657
AT1G80290	149
AT1G56540	37
AT1G48650	2299
AT1G22670	3
AT1G07030	599
AT1G69860	2
AT1G10120	414
AT1G43650	92
AT1G09960	404
AT1G51990	0
AT1G53625	28
AT1G63360	562
AT1G33330	371
AT1G74929	0
AT1G63430	725
AT1G80720	279
AT1G69770	1628
AT1G08460	885
AT1G78710	0
AT1G08610	581
AT1G17540	12
AT1G27380	19
AT1G58643	0
AT1G48953	6
AT1G51440	75
AT1G18871	0
AT1G25210	0
AT1G21610	728
AT1G79710	315
AT1G80840	167
AT1G71300	1
AT1G49490	191
AT1G23645	0
AT1G09795	1424
AT1G48690	63
AT1G49570	50
AT1G68470	121
AT1G75580	146
AT1G26400	0
AT1G72980	1
AT1G59970	133
AT1G11520	1
AT1G30640	272
AT1G26440	332
AT1G51320	0
AT1G22070	635
AT1G26700	2
AT1G73603	0
AT1G55650	1
AT1G78180	345
AT1G55928	0
AT1G29880	4059
AT1G53645	1075
AT1G06240	324
AT1G72330	710
AT1G20840	1193
AT1G45050	262
AT1G52500	591
AT1G10430	644
AT1G05670	383
AT1G64110	132
AT1G65220	1892
AT1G13635	35
AT1G54950	0
AT1G55730	302
AT1G07310	796
AT1G77230	226
AT1G52400	605
AT1G16430	205
AT1G27752	726
AT1G14880	3
AT1G11190	353
AT1G43100	0
AT1G26650	293
AT1G54420	0
AT1G34640	173
AT1G50310	5
AT1G49430	632
AT1G74240	453
AT1G01760	123
AT1G61160	0
AT1G47480	53
AT1G65820	3212
AT1G22900	18
AT1G76820	813
AT1G52080	230
AT1G35180	62
AT1G30070	1589
AT1G35210	19
AT1G10410	1785
AT1G73740	170
AT1G53350	206
AT1G34110	581
AT1G17240	43
AT1G61730	823
AT1G29260	750
AT1G33890	0
AT1G08040	674
AT1G63522	0
AT1G08810	174
AT1G09210	6824
AT1G70080	0
AT1G10522	1617
AT1G04570	86
AT1G01830	306
AT1G12340	7
AT1G67590	582
AT1G69080	58
AT1G31400	1
AT1G74385	0
AT1G73300	1
AT1G05760	0
AT1G30530	1996
AT1G12480	39
AT1G76850	1415
AT1G73570	263
AT1G44130	44
AT1G67340	338
AT1G80315	0
AT1G43666	0
AT1G08630	33
AT1G66150	1594
AT1G04640	339
AT1G56500	1214
AT1G12615	0
AT1G77120	2479
AT1G50590	71
AT1G17147	18
AT1G44740	171
AT1G08005	0
AT1G24380	22
AT1G60787	0
AT1G26796	0
AT1G68500	112
AT1G15500	8731
AT1G77760	2336
AT1G24062	0
AT1G53510	1170
AT1G51410	3
AT1G50020	404
AT1G22370	582
AT1G53265	0
AT1G17270	140
AT1G74350	102
AT1G75230	281
AT1G29150	2688
AT1G17140	782
AT1G08380	27616
AT1G43560	1077
AT1G07700	1151
AT1G33750	111
AT1G61270	5
AT1G14750	153
AT1G05900	311
AT1G44120	0
AT1G52990	37
AT1G37130	20338
AT1G48175	237
AT1G72140	45
AT1G66465	0
AT1G43260	0
AT1G14420	2
AT1G01710	681
AT1G44000	857
AT1G73960	1102
AT1G11360	438
AT1G04490	13
AT1G78476	1
AT1G15310	578
AT1G13300	128
AT1G55530	607
AT1G47350	0
AT1G74458	64
AT1G32120	236
AT1G17260	92
AT1G32660	2
AT1G31480	344
AT1G17500	973
AT1G50780	3
AT1G21150	60
AT1G78110	151
AT1G80080	481
AT1G23260	500
AT1G09790	1
AT1G60270	287
AT1G25400	178
AT1G77980	0
AT1G43140	2
AT1G42470	947
AT1G34170	0
AT1G56150	91
AT1G75520	96
AT1G53890	0
AT1G43722	0
AT1G73370	233
AT1G01230	252
AT1G70700	701
AT1G02380	47
AT1G48870	51
AT1G69280	125
AT1G36950	1
AT1G12430	930
AT1G56320	60
AT1G50880	0
AT1G36310	582
AT1G44830	34
AT1G01300	1602
AT1G48050	596
AT1G36925	0
AT1G30670	1
AT1G22180	234
AT1G17450	854
AT1G61630	0
AT1G28590	3
AT1G79670	315
AT1G68170	63
AT1G60080	463
AT1G51240	0
AT1G07130	0
AT1G42525	0
AT1G64355	656
AT1G04820	10041
AT1G71866	3
AT1G33050	876
AT1G77810	298
AT1G16210	1809
AT1G34580	52
AT1G02050	364
AT1G66500	282
AT1G04030	184
AT1G32480	0
AT1G29370	1370
AT1G18880	302
AT1G50740	233
AT1G02580	6
AT1G58220	184
AT1G07350	3283
AT1G06950	5208
AT1G19200	50
AT1G52140	204
AT1G18550	169
AT1G77510	3505
AT1G52430	27
AT1G15950	578
AT1G67850	363
AT1G69620	5198
AT1G49110	0
AT1G57860	3144
AT1G63160	245
AT1G71050	39
AT1G28510	385
AT1G48240	745
AT1G71140	69
AT1G66960	2
AT1G36370	1760
AT1G58242	0
AT1G63370	10
AT1G56110	6267
AT1G14510	1016
AT1G19010	204
AT1G54250	688
AT1G55170	309
AT1G70230	595
AT1G52830	5
AT1G45015	0
AT1G23160	0
AT1G67510	328
AT1G08230	531
AT1G67780	68
AT1G76830	0
AT1G04280	292
AT1G55020	2954
AT1G48970	1093
AT1G79420	147
AT1G70350	284
AT1G35375	0
AT1G28306	0
AT1G12450	108
AT1G57660	5141
AT1G19086	0
AT1G05870	678
AT1G07540	0
AT1G78820	849
AT1G03790	12
AT1G02220	1400
AT1G74420	22
AT1G68700	3
AT1G64820	4
AT1G56680	34
AT1G58848	121
AT1G23985	0
AT1G22140	420
AT1G75210	719
AT1G30330	1452
AT1G77200	53
AT1G30360	2872
AT1G75280	5357
AT1G18200	51
AT1G55680	2370
AT1G34000	781
AT1G04410	16936
AT1G45243	0
AT1G21650	892
AT1G28520	1140
AT1G14048	0
AT1G05220	27
AT1G63245	8
AT1G66180	2232
AT1G07790	708
AT1G07720	333
AT1G16420	7
AT1G72740	622
AT1G05060	249
AT1G55960	1025
AT1G32060	10920
AT1G77700	35
AT1G75510	638
AT1G54090	533
AT1G26520	224
AT1G15240	1225
AT1G07980	674
AT1G01740	225
AT1G62914	121
AT1G53090	519
AT1G08540	1838
AT1G12460	299
AT1G06250	185
AT1G52827	72
AT1G47690	0
AT1G49590	331
AT1G06280	0
AT1G78420	1120
AT1G08465	168
AT1G32970	1
AT1G28815	0
AT1G01260	361
AT1G26815	0
AT1G16730	749
AT1G08700	2105
AT1G66590	411
AT1G09550	0
AT1G16370	10
AT1G80730	7
AT1G11420	247
AT1G61210	880
AT1G57980	21
AT1G15140	1495
AT1G04810	2150
AT1G67070	75
AT1G53270	53
AT1G04550	488
AT1G44940	2
AT1G47810	0
AT1G27450	4158
AT1G33055	301
AT1G69400	71
AT1G51920	2
AT1G56000	216
AT1G42540	1039
AT1G08100	0
AT1G29465	146
AT1G75960	290
AT1G63420	346
